time,VNINDEX_Return,VCB,BID,VIC,HPG,MSN,MWG,GAS
2015-11-27,-0.017094433359300183,-0.024491020008295755,-0.013934270974546272,,-0.012698583337127431,-0.014497047869862585,-0.04400032926243759,-0.014018921179331041
2015-11-30,-0.01739174271186922,-0.03206381545592426,-0.04300710542559212,,-0.02589141393274159,0.014497047869862573,-0.03282827031333565,-0.040331918548672456
2015-12-01,0.0,-0.018794601777566776,0.0145421854997743,,-0.006578971098042511,0.007170466464519587,0.0071259208899674435,-0.004911601229460211
2015-12-02,0.0,0.00236873383555061,0.02377667880236232,,0.00985229644301164,0.007119416708592018,0.012933748784568495,0.0
2015-12-03,0.0,0.009419221916491778,0.0046882411234555384,,0.0,0.006798122713820965,-0.007034026657380048,-0.016882228164569493
2015-12-04,0.0,-0.007056085724208733,-0.023664142582461228,,-0.009852296443011707,0.0070213628991561495,0.0,0.0
2015-12-07,-0.01769957709940075,-0.03604715469329745,-0.014472032608534432,,-0.01328923211868254,0.0,-0.005899722127188383,-0.022791566442777442
2015-12-08,0.017699577099400638,0.0547538576374814,0.02400499326725796,0.0017497817237875507,0.013289232118682487,0.0,0.018757877070557004,-0.0025647616008381336
2015-12-09,0.0,-0.04017870083451338,-0.019157674032933145,-0.014084739881738972,-0.01663931900396467,-0.007021362899156193,-0.02588379796052452,-0.015528262326554996
2015-12-10,-0.01769957709940075,-0.004834820054583293,-0.014613021845649674,-0.01159174816378502,-0.01351371916672282,0.0,-0.013197552081946586,-0.015243396340198683
2015-12-11,0.0,0.002420331960065672,-0.009862012869115819,0.004474280394921107,0.013513719166722855,-0.006798122713820985,0.020323472971914242,0.007387896399889542
2015-12-14,0.0,0.0072260450917396276,-0.0049677201019345555,-0.004474280394920966,0.026491615446976285,-0.02151213678846933,0.005899722127188322,-0.026100016819975785
2015-12-15,0.017699577099400638,0.037681066967688484,0.0,0.004474280394921107,0.0,0.0,0.007034026657379982,0.018712120420086156
2015-12-16,0.0,0.0069098163601865855,0.02944275481669991,0.005342844410495446,-0.003273325344969249,-0.0072747942545048246,0.025376217493374535,0.007387896399889542
2015-12-17,0.01739174271186924,0.01141130678740967,0.04259991018976025,0.004430667416484896,-0.0032840752011898846,-0.014425366817866126,0.006810469002526879,-0.012698583337127319
2015-12-18,-0.01739174271186922,-0.06564856716709014,-0.009311054233089422,-0.046141155997855,0.0,0.04321229786084036,-0.006810469002526863,-0.008019289166619922
2015-12-21,0.0,0.031016402787997794,-0.02846491992581771,0.03636764417087479,-0.01324522675002068,-0.043212297860840285,0.006810469002526879,-0.02445109586416431
2015-12-22,0.0,0.0,0.009578617297069747,0.002674990449303055,-0.010050335853501338,0.0,-0.012521506798041185,0.005485477276671278
2015-12-23,-0.01769957709940075,-0.0023520199004305777,-0.009578617297069773,0.0026678539611924477,-0.0067567824628797625,0.014425366817866183,0.005711037795514434,0.0027314958256094337
2015-12-24,0.017699577099400638,-0.0047207011349374535,-0.009671255265177975,0.007079675588061768,0.0,0.0216675143343821,0.006810469002526879,0.01085197844565485
2015-12-25,0.0,0.007072721035368015,-0.004870930234596454,0.008779687652045773,0.0,0.061803952965488185,-0.019418085857101627,0.0026946930884238474
2015-12-28,0.0,0.0,-0.009813621448324622,0.025885828448298575,-0.020548668227387677,0.0645223753084421,0.02505825873336282,-0.01901714469512067
2015-12-29,0.01739174271186924,0.03463216437909244,0.024355806948098933,0.044970108319045944,0.0,-0.02526191968635346,0.0,-0.008262233726541376
2015-12-30,0.0,0.006784797983480103,0.004800777343356508,0.011336153786336307,0.013745920904635136,-0.013000183087974498,0.01894207052907484,0.0
2015-12-31,0.0,-0.009056665677797055,-0.009624713374209557,-0.00646205802809098,-0.003418806748785609,0.006521216990265552,-0.03139271240786283,-0.007773498333380251
2016-01-04,-0.01739174271186922,-0.016049255453279256,-0.01953187091724584,0.03816043301528222,-0.013793322132335873,-0.026087334763318492,0.006810469002526879,0.0
2016-01-05,0.0,-0.01631104123149606,-0.004943163797519542,0.0,-0.010471299867295366,-0.00669415476106108,0.0,-0.00279095911002234
2016-01-06,0.0,0.011677828310007913,0.004943163797519509,0.0,0.01739174271186902,0.013343795631904324,-0.006810469002526863,0.005018131522846332
2016-01-07,0.0,-0.011677828310007892,-0.045393572260362364,0.010861239431604634,-0.02797385204240618,0.019437693892475127,-0.03241024415075449,-0.050766531915974696
2016-01-08,-0.01769957709940075,-0.007072721035367996,-0.026138445745265547,0.0,-0.017889564750775057,-0.01283197881537818,-0.013025643017155848,0.014522474224896179
2016-01-11,0.0,-0.007123100952824022,0.0105375053027857,0.006153865574378066,0.0,-0.006605715077097018,-0.013197552081946586,0.0
2016-01-12,0.0,0.01888333057128926,0.01560094044247981,-0.006153865574378112,0.01077209698191104,0.006605715077097058,0.013197552081946543,-0.008688151957637816
2016-01-13,0.0,-0.009397093426182314,-0.015600940442479774,-0.00231749814036259,-0.01801850550267825,-0.019949510709001358,-0.007177064300363593,0.008688151957637823
2016-01-14,-0.018018505502678365,-0.0118719241613101,-0.026554932634447966,0.002317498140362704,-0.0370412716803491,-0.01352426335213198,-0.013293247110662742,-0.017452449951226166
2016-01-15,-0.01834913866819654,-0.02908120930084185,-0.039522157937339465,-0.010861239431604703,-0.03846628082779605,-0.05545015607787581,-0.013472340940767148,-0.002938585717329032
2016-01-18,-0.01869213301215252,-0.050430853626891856,-0.06955293870965637,0.0,-0.027834798993443873,0.0,-0.04928350409063667,-0.07261499565091942
2016-01-19,0.018692133012152546,0.04302645945268193,0.02957045732111961,0.0,0.01600034134644112,0.01428988317311162,0.02809891122235965,0.0
2016-01-20,-0.01869213301215252,-0.007459628457939352,-0.011723463696059146,-0.0023428359017727183,0.0,0.006798122713820965,-0.01395076525633261,-0.03805683376171961
2016-01-21,-0.019048194970694474,-0.015088299651201884,-0.06705741415705511,0.008563695776875211,0.011834457647002798,0.0,-0.014148145966027013,-0.023280066981588462
2016-01-22,0.0,0.005054770661624054,-0.051757993834954386,0.010794245130880394,0.003913899321136315,-0.006798122713820985,-0.014351192163090273,0.06449646103367657
2016-01-25,0.03774032798284711,0.051587368790493054,0.06428948614686804,0.0,0.06062462181643484,0.04116027290476432,0.05620891955687757,0.0665081889006189
2016-01-26,0.0,-0.02668981716876607,0.030658440438497924,-0.006153865574378112,-0.02985296314968116,-0.006567736730556726,-0.013758816171427697,0.03765286952555833
2016-01-27,0.0,-0.0024620447397750386,0.041401536698168435,-0.010861239431604703,0.015037877364540502,0.0,0.007528266420791588,0.027475796214563624
2016-01-28,0.0,0.0,-0.04140153669816846,0.017015105005982755,-0.011257154524634558,-0.006876514798705792,-0.021479031677124186,0.005515733785302484
2016-01-29,0.018349138668196617,0.021943180311597636,0.017953803616595845,-0.014677745157278061,0.037041271680349076,-0.006924128862218695,0.027709581427760428,0.06598137411384616
2016-02-01,-0.01834913866819654,-0.017025137611952283,-0.030104621399108418,-0.01252952961493258,-0.02952243926632184,-0.013993769799462109,0.0,-0.04421772947748653
