time,VCB,BID,VIC,HPG,MSN,MWG,GAS,SP500,VIX,OIL,GOLD,DXY,VNINDEX_Return
2015-12-08,0.0547538576374814,0.02400499326725796,0.0017497817237875507,0.013289232118682487,0.0,0.018757877070557004,-0.0025647616008381336,-0.006511052625594547,0.1053605276991684,-0.011606531900376653,-9.28838970668577e-05,-0.001927687267661453,0.017699577099400638
2015-12-09,-0.04017870083451338,-0.019157674032933145,-0.014084739881738972,-0.01663931900396467,-0.007021362899156193,-0.02588379796052452,-0.015528262326554996,-0.007769086365692726,0.10814074761423836,-0.0037326835220602163,0.001207044803292825,-0.01143922951235701,0.0
2015-12-10,-0.004834820054583293,-0.014613021845649674,-0.01159174816378502,-0.01351371916672282,0.0,-0.013197552081946586,-0.015243396340198683,0.0022488565785946774,-0.01386417341785571,-0.009519136694260676,-0.00418469025807936,0.006042355057687032,-0.01769957709940075
2015-12-11,0.002420331960065672,-0.009862012869115819,0.004474280394921107,0.013513719166722855,-0.006798122713820985,0.020323472971914242,0.007387896399889542,-0.01961386775581532,0.23199768928825953,-0.04636419455807285,0.0035349328234069743,-0.003785005209645278,0.0
2015-12-14,0.0072260450917396276,-0.0049677201019345555,-0.004474280394920966,0.026491615446976285,-0.02151213678846933,0.005899722127188322,-0.026100016819975785,0.0047442880640680245,-0.07048756947789755,-0.0002637346470575501,-0.011393542545885472,0.00030741179294538123,0.0
2015-12-15,0.037681066967688484,0.0,0.004474280394921107,0.0,0.0,0.007034026657379982,0.018712120420086156,0.010562580105914385,-0.08154693493996301,0.013880086694518581,-0.0016919789508065548,0.006332395254311158,0.017699577099400638
2015-12-16,0.0069098163601865855,0.02944275481669991,0.005342844410495446,-0.003273325344969249,-0.0072747942545048246,0.025376217493374535,0.007387896399889542,0.014410635650771483,-0.1595750731627317,-0.033318844783404904,0.014106427960112739,-0.0035697775380504368,0.0
2015-12-17,0.01141130678740967,0.04259991018976025,0.004430667416484896,-0.0032840752011898846,-0.014425366817866126,0.006810469002526879,-0.012698583337127319,-0.015154776635876313,0.05871250633269954,-0.00026888050926547114,-0.025555647189986472,0.014203281284133569,0.01739174271186924
2015-12-18,-0.06564856716709014,-0.009311054233089422,-0.046141155997855,0.0,0.04321229786084036,-0.006810469002526863,-0.008019289166619922,-0.017957495007106937,0.08885762117302938,-0.008101562851058454,0.01454905431330043,-0.005758461265532425,-0.01739174271186922
2015-12-21,0.031016402787997794,-0.02846491992581771,0.03636764417087479,-0.01324522675002068,-0.043212297860840285,0.006810469002526879,-0.02445109586416431,0.0077483067271562,-0.1016101724688598,-0.014475265648186391,0.01461789766718511,-0.0024345504883187736,0.0
2015-12-22,0.0,0.009578617297069747,0.002674990449303055,-0.010050335853501338,0.0,-0.012521506798041185,0.005485477276671278,0.008778095591568889,-0.1191208463168401,-0.006624309810186457,-0.006584134088142776,-0.0022369223777694504,0.0
2015-12-23,-0.0023520199004305777,-0.009578617297069773,0.0026678539611924477,-0.0067567824628797625,0.014425366817866183,0.005711037795514434,0.0027314958256094337,0.012341596527553888,-0.06405675209693741,0.034030777505745326,-0.005036876826985434,0.0010173820907119033,-0.01769957709940075
2015-12-24,-0.0047207011349374535,-0.009671255265177975,0.007079675588061768,0.0,0.0216675143343821,0.006810469002526879,0.01085197844565485,-0.0015999154038633197,0.010859262202180447,0.014086579224321235,0.007267270264383618,-0.0036674142726823965,0.017699577099400638
2015-12-28,0.0,-0.009813621448324622,0.025885828448298575,-0.020548668227387677,0.0645223753084421,0.02505825873336282,-0.01901714469512067,-0.002180936456306017,0.07169992543911456,-0.03409269884316978,-0.006239207578959481,-0.000612610407325364,0.0
2015-12-29,0.03463216437909244,0.024355806948098933,0.044970108319045944,0.0,-0.02526191968635346,0.0,-0.008262233726541376,0.010573664173022947,-0.05032889488078703,0.03145003150928007,0.0065177139481654685,0.0018365509524768035,0.01739174271186924
2015-12-30,0.006784797983480103,0.004800777343356508,0.011336153786336307,0.013745920904635136,-0.013000183087974498,0.01894207052907484,0.0,-0.007243398783778549,0.07255209364028917,-0.035828797448049156,-0.01628032272881288,0.0017314071970294064,0.0
2015-12-31,-0.009056665677797055,-0.009624713374209557,-0.00646205802809098,-0.003418806748785609,0.006521216990265552,-0.03139271240786283,-0.007773498333380251,-0.009456485041467845,0.05184249081697819,0.022241212933149956,0.00018871273389700527,0.003656688904547397,0.0
2016-01-04,-0.016049255453279256,-0.01953187091724584,0.03816043301528222,-0.013793322132335873,-0.026087334763318492,0.006810469002526879,0.0,-0.015422041797805928,0.12816289366486183,-0.0016106730621358732,0.01386172479955186,0.002430436570199398,-0.01739174271186922
